run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.gross_sales_median,metrics.net_quantity_median,metrics.total_net_sales_median,metrics.discounts_mean,metrics.discounts_median,metrics.returns_mean,metrics.returns_median,metrics.returns_std_dev,metrics.total_net_sales_std_dev,metrics.gross_sales_mean,metrics.total_net_sales_mean,metrics.gross_sales_std_dev,metrics.net_quantity_std_dev,metrics.discounts_std_dev,metrics.net_quantity_mean,tags.mlflow.source.type,tags.mlflow.source.name,tags.changed_at,tags.mlflow.runName,tags.mlflow.user,tags.operation
f9488aa8af2f4c4ab7a3862c4add92c4,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/f9488aa8af2f4c4ab7a3862c4add92c4/artifacts,2023-07-21 07:18:26.409000+00:00,2023-07-21 07:18:28.877000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 10:35:48.999015,2023-07-21 10:35:48,user,INSERT
1a31ccea34ce432183d32831b9b7d3ff,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/1a31ccea34ce432183d32831b9b7d3ff/artifacts,2023-07-21 07:18:23.850000+00:00,2023-07-21 07:18:26.409000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 10:29:17.247918,2023-07-21 10:29:17,user,INSERT
ec0452d11924434d873f737695e30e46,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/ec0452d11924434d873f737695e30e46/artifacts,2023-07-21 07:18:21.288000+00:00,2023-07-21 07:18:23.835000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 10:27:42.389928,2023-07-21 10:27:42,user,INSERT
c9ae513327ce4b578af5211f93084aad,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/c9ae513327ce4b578af5211f93084aad/artifacts,2023-07-21 07:18:18.648000+00:00,2023-07-21 07:18:21.256000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 10:22:13.638545,2023-07-21 10:22:13,user,INSERT
20a5fd3e982d4fa496b1df088514ac3c,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/20a5fd3e982d4fa496b1df088514ac3c/artifacts,2023-07-21 07:18:16.055000+00:00,2023-07-21 07:18:18.648000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 18:08:22.303536,2023-07-20 18:08:22,user,INSERT
966e342fd3e147a68aaf1a22a937a483,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/966e342fd3e147a68aaf1a22a937a483/artifacts,2023-07-21 07:18:13.584000+00:00,2023-07-21 07:18:16.055000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 17:34:12.109977,2023-07-20 17:34:12,user,INSERT
87c90cebc05c43638fdeb7bfb0b8f11d,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/87c90cebc05c43638fdeb7bfb0b8f11d/artifacts,2023-07-21 07:18:11.082000+00:00,2023-07-21 07:18:13.584000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 15:39:17.829699,2023-07-20 15:39:17,user,INSERT
49215b8011024b7c8aa864c84e838f06,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/49215b8011024b7c8aa864c84e838f06/artifacts,2023-07-21 07:18:08.647000+00:00,2023-07-21 07:18:11.082000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 14:27:30.400042,2023-07-20 14:27:30,user,INSERT
d711005aa16a47699a825038b7b2fe37,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/d711005aa16a47699a825038b7b2fe37/artifacts,2023-07-21 07:18:06.204000+00:00,2023-07-21 07:18:08.632000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 14:03:18.556567,2023-07-20 14:03:18,user,INSERT
95e6378a22be4fef84b6928d3ca7120a,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/95e6378a22be4fef84b6928d3ca7120a/artifacts,2023-07-21 07:18:03.571000+00:00,2023-07-21 07:18:06.204000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 12:29:44.024608,2023-07-20 12:29:44,user,DELETE
a6efaf7b49004b69983777359f306569,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/a6efaf7b49004b69983777359f306569/artifacts,2023-07-21 07:18:01.147000+00:00,2023-07-21 07:18:03.571000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 10:51:34.570222,2023-07-20 10:51:34,user,DELETE
d56d7f156ed747929bb790420d7ed6a2,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/d56d7f156ed747929bb790420d7ed6a2/artifacts,2023-07-21 07:17:58.664000+00:00,2023-07-21 07:18:01.131000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 10:39:42.724237,2023-07-20 10:39:42,user,DELETE
38612c2edb1d4a14a98516164f6d2139,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/38612c2edb1d4a14a98516164f6d2139/artifacts,2023-07-21 07:17:56.273000+00:00,2023-07-21 07:17:58.664000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 10:18:48.190631,2023-07-20 10:18:48,user,DELETE
65f9113c56cb4a0790df8e034caa6a08,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/65f9113c56cb4a0790df8e034caa6a08/artifacts,2023-07-21 07:17:53.883000+00:00,2023-07-21 07:17:56.273000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 10:18:48.190631,2023-07-20 10:18:48,user,DELETE
e0389a7402684f21b89a27d5f35203f4,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/e0389a7402684f21b89a27d5f35203f4/artifacts,2023-07-21 07:17:51.212000+00:00,2023-07-21 07:17:53.883000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-20 10:18:48.190631,2023-07-20 10:18:48,user,DELETE
00c4c6c2749d40afbf1833310ef20b2a,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/00c4c6c2749d40afbf1833310ef20b2a/artifacts,2023-07-21 07:09:58.323000+00:00,2023-07-21 07:10:02.336000+00:00,2872.0,1241.0,3381.3,3561.971428571429,700.0,10752.857142857143,720.0,219328.14214282713,35964.43708594659,28928.5,8948.685714285715,64920.66318888475,319808.46180858574,58903.38824287979,95573.71428571429,LOCAL,changes_log.py,2023-07-21 11:09:28.403702,2023-07-21 11:09:28,user,INSERT
9d61278be11342edadaa390761643dfa,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/9d61278be11342edadaa390761643dfa/artifacts,2023-07-21 07:06:54.299000+00:00,2023-07-21 07:06:58.242000+00:00,2000.0,1230.0,3335.4,2981.2769230769236,400.0,3033.0,440.0,226295.59095019946,21553.681605417027,30299.076923076922,1090.0461538461543,67360.42300869447,331904.1231640663,61266.866652241886,102070.84615384616,LOCAL,changes_log.py,2023-07-21 11:06:37.356444,2023-07-21 11:06:37,user,INSERT
